label_ID,oligomer_ID,framenum,x_nm,y_nm
19,34,6122,-36.681,4849.3
19,34,6123,-16.047,4862
19,34,6132,-21.045,4838.3
19,34,6134,-31.396,4861.7
19,34,6135,-14.558,4878.3
19,34,6162,-33.555,4859
19,34,6163,-13.94,4842.5
19,34,6164,-32.259,4842.8
19,34,6165,-0.9487,4850.7
19,34,6172,-27.561,4874.4
19,34,6173,-28.737,4869.7
19,34,6188,-31.856,4851.8
20,34,1510,-7.6683,4854
20,34,1511,-22.269,4864.2
20,34,1523,-5.3913,4862.4
20,34,1524,-15.581,4853.3
20,34,1525,-36.5,4863.4
20,34,1528,-24.766,4856.2
20,34,1529,-20.037,4854.9
21,34,3747,-7.1918,4924.1
21,34,3750,0.14645,4929.2
21,34,3751,-2.55,4925.9
21,34,3769,-6.2948,4916.8
21,34,3770,8.3444,4912.2
21,34,3773,-0.74715,4921.7
21,34,3774,4.3865,4929
21,34,3775,-1.1044,4905.8
21,34,3814,-2.1857,4924.4
21,34,3821,-14.288,4918
21,34,3822,-6.8016,4924.9
21,34,3823,-20.051,4924
21,34,3841,10.232,4930.6
21,34,3842,-13.851,4917.9
21,34,3843,9.142,4917
21,34,3844,-2.0949,4909.7
21,34,3872,9.1855,4930
21,34,3888,-9.4988,4932.5
21,34,3902,-2.5742,4924.9
21,34,3923,3.6798,4922.7
21,34,3943,1.0321,4916
